name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Soaps N Suds Laundromat & Car Wash,Virginia Beach,VA,Soaps N Suds,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states 'Touchless Car Wash' with high-pressure/chemical wash (no brushes mentioned). Multiple reviews confirm laser wash, no-touch, touchless automatic. Laundromat is secondary service.","Virginia Beach, VA #1",87
Anderson Ultra Express Car Wash North George St.,York,PA,,confirmed_touchless,touchless_automatic,0.92,"Website explicitly states 'touch-free automatic car wash' at this location. Multiple reviews confirm touchless/touch-free wash use. One 1★ review alleges scratches despite touch-free claim—typical friction complaint but doesn't prove brushes present.","York, PA #3",69
Station Auto Wash Express,Sterling,VA,,not_touchless,soft_touch,0.95,"Website explicitly describes soft-touch tunnel with closed-cell foam wraps contacting vehicle. Reviews mention foam rollers and roller brushes—not touchless.","Washington, DC #1",90
Speedy Clean Car Wash,Plover,WI,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms touchless automatic bay (contact-free chemicals/pressure). Mixed facility with brush tunnel also present. Customer reviews support touchless option works.","Wisconsin Rapids, WI #3",73
Wrightsville Beach Auto Wash,Wilmington,NC,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms Touch-Free Automatic wash. Multiple 5★ reviews explicitly mention 'brushless' and 'touchless automatic.' Self-serve also available.","Wilmington, NC #3",71
Boardman Auto Spa,Youngstown,OH,Super Suds Auto Spa,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touch-free Automatic Washes' and 'brushless automated system.' Multiple 5-star reviews confirm touch-free/touch-less experience. No evidence of brushes or cloth contact.","Warren-Youngstown, OH #3",90
Cortland Auto Spa,Cortland,OH,Super Suds Auto Spa,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touch-free Automatic Washes'. Multiple reviews confirm touchless/laser wash operation with positive cleaning results.","Warren-Youngstown, OH #1",86
Sheetz,St Clairsville,OH,Sheetz,uncertain,unknown,0.4,"Description claims touchless, but no review evidence provided. Sheetz typically operates fuel+convenience, not car wash. Unverified.","Wheeling, WV #3",
Kwik Trip,WAUSAU,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.9,"Description explicitly states 'touchless automatic car wash' and 'brushless cleaning.' Review confirms 'touch free' option available.","Wausau, WI #1",
Fitzy's Car Wash,North Grafton,MA,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly advertises 'Touchless Saber Wash' 24/7. Multiple reviews confirm touchless/no-touch/touch-less automatic service. Mixed facility also offers tunnel wash & self-serve bays.","Worcester, MA #3",85
Kwik Trip,Wausau,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with overhead gantry, high-pressure nozzles, no physical contact. No contradicting evidence.","Wausau, WI #2",
Valero Touchless Car Wash,Visalia,CA,Valero,confirmed_touchless,touchless_automatic,0.95,"Gantry arm with high-pressure nozzles, no physical contact. Reviews confirm touchless operation. Name and description aligned.","Visalia, CA #3",62
Pink Bird Car Wash,West Palm Beach,FL,,uncertain,unknown,0.35,"Description claims touchless automatic, but evidence file shows no touchless tech mentions. Reviews conflict: some praise 'touch less' cleaning, others report scratches/damage suggesting contact wash.","West Palm Beach, FL #3",82
Checkered Flag Car & Dog Wash,Advance,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Automatic touchless gantry system with high-pressure nozzles, no brushes/cloth contact. Reviews confirm touchless lanes. Mixed facility (also offers self-serve, wheel cleaning).","Winston-Salem, NC #3",90
Kwik Trip,Fort Atkinson,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms automatic touchless bay with high-pressure water jets, no physical contact. Review mentions 'touch free' option alongside soft-touch. Qualifies as mixed facility with touchless component.","Watertown, WI #1",
Power Market,Yuba City,CA,Power Market,confirmed_touchless,touchless_automatic,0.92,"Chain uses Istobal systems offering touchless option; listing explicitly states brushless touchless automated wash technology.","Yuba City, CA #2",
Girard Auto Bath,Girard,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Two laser touchless automatic bays explicitly stated. Reviews confirm touch-free, brushless automatic wash. Self-serve bays are supplementary.","Warren-Youngstown, OH #2",85
Ashland Laser Wash,Ashland,OH,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay, water pressure + detergent only, no brushes/cloth/foam curtains. Reviews confirm touchless operation and contrast favorably with brush washes.","Wooster, OH #3",70
FW Express Car Wash,Virginia Beach,VA,,confirmed_touchless,mixed_with_touchless,0.85,"Description and reviews confirm touchless automatic bay present. Mixed facility with self-serve bays. Some negative reviews mention brushes/scratches, but touchless option explicitly confirmed by multiple reviewers.","Virginia Beach, VA #2",62
Power Market,Olivehurst,CA,Power Market,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay, gantry-arm overhead, high-pressure nozzles, no physical contact. Istobal equipment confirmed touchless.","Yuba City, CA #1",
White Horse Auto Wash,Alexandria,VA,,not_touchless,unknown,0.85,"Website lists only 'full service' & 'express detailing'—no touchless mention. One 2★ review explicitly states 'definitely not brushless.' Conflicting 5★ reviews claiming 'brushless' lack credibility given website silence and negative review.","Washington, DC #2",
Kwik Trip,WAUSAU,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless/brushless, but no customer reviews harvested to verify. Chain data absent.","Wausau, WI #3",
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless system.' Customer review mentions 'touchless' wash experience.","Watertown, WI #2",
Cornerstone Car Wash and Laundromat,Stewartstown,PA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm 'touchless', 'touch-free', 'touch-less' automatic wash with high-pressure water/chemicals, no brushes. Mixed facility includes self-serve bays.","York, PA #1",88
John's Auto Spa,Nappanee,IN,,not_touchless,soft_touch,0.95,"Website explicitly describes 'Soft Cloth Car Wash' with friction tunnel chemicals. Description contradicts filing evidence. Reviews report scratches/windshield cracks consistent with contact wash, not touchless.","Warsaw, IN #2",
Prístíne Auto Wash,Utica,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touch Free' and 'Touchless Wash Bays.' Multiple reviews praise 'laser wash' and 'touch free' options. Soft Touch also offered but touchless automatic bays clearly present.","Utica-Rome, NY #2",85
Orloski's Car Wash & Lube Shop,Wilkes-Barre Township,PA,,uncertain,mixed_with_touchless,0.6,"Description claims touchless automatic bay with high-pressure jets. Reviews mention both brush wash AND touchless option, but evidence is conflicting and unclear which is primary/available.","Wilkes-Barre, PA #1",
Hyper Express Car Wash | TOUCHLESS Car Wash | Smithville,Smithville,OH,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly confirms touchless automatic system with high-pressure nozzles, no friction contact. Reviews consistently praise no-brush, scratch-free operation.","Wooster, OH #1",85
Mint Eco Car Wash and Detail Center,West Palm Beach,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms high-pressure water jets, no physical contact automatic bay. Reviews cite 'brushless' and 'touchless' wash. Mixed facility includes detailing services.","West Palm Beach, FL #2",82
Mr Shine AutoWash,Irwin,PA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly lists touchless automatic wash service. Multiple positive reviews confirm touchless option with high-pressure, contact-free cleaning. Mixed facility (also offers soft touch/self-serve).","Uniontown, PA #3",80
Lake Auto Care,Wooster,OH,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touchless Automatic Wash' service. Customer review confirms 'brushless car wash' works great. Self-serve bays also present.","Wooster, OH #2",
Southport Auto Wash,Southport,NC,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly advertises 'Touch-Free Automatic' wash. Multiple reviews confirm brushless, touchless operation with high-pressure water system. No brush/cloth contact evidence.","Wilmington, NC #1",80
Pelican Express Car Wash,Sebastian,FL,,not_touchless,soft_touch,0.95,"Website explicitly states soft brushes and brush applications. Reviews mention soft brushes, soapy brush prep. No genuine touchless/laser bay confirmed.","Vero Beach, FL #2",54
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.92,"Description confirms high-pressure water+detergent automatic bay, no brushes/cloth. Reviews confirm touch-free option available alongside soft-touch bay.","Waterloo-Cedar Falls, IA #2",
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless wash experience'. Review doesn't contradict wash type.","Watertown, WI #3",
Festival Car Wash,Cedar Falls,IA,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states third-generation touchless-automatic equipment. Customer review confirms no-touch operation and wheel protection. Qualifies.","Waterloo-Cedar Falls, IA #1",
EZ Breezy Car Wash,Mt Pleasant,PA,,confirmed_touchless,mixed_with_touchless,0.99,"Website explicitly states 'touchless automatic,' 'brushless automatic,' and 'touch-free.' Reviews confirm 2 touchless automatic bays plus self-serve. No brush/cloth contact mentioned.","Uniontown, PA #2",90
Kwik Trip,STEVENS POINT,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.98,"PDQ Laserwash 360 Plus confirmed touchless system; gantry overhead nozzles; customer review confirms touch-free operation.","Wisconsin Rapids, WI #2",
Exxon,Bartonsville,PA,Exxon,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with gantry arm, high-pressure nozzles, no physical contact. Multiple reviews affirm touchless operation.","Wilkes-Barre, PA #3",68
Laser Car Wash,Exeter,CA,,confirmed_touchless,touchless_automatic,0.98,"Automatic touchless bay confirmed: high-pressure nozzles, no physical contact, gantry overhead system. Multiple reviews affirm touch-free/touchless operation.","Visalia, CA #2",84
Tiny Bubbles Car & Dog Wash,Watertown,NY,,confirmed_touchless,mixed_with_touchless,0.85,"Description explicitly states 'brushless touchless automated car wash.' Reviews confirm touchless/touch-free bay exists. Mixed facility also offers soft-touch option.","Watertown, NY #2",61
Valley Car Wash,St Clairsville,OH,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms 'Razor Touch Free Automatic' systems. Multiple reviews explicitly mention 'touchless automatic bays' and 'brushless bays.' Mixed facility with soft-touch also present.","Wheeling, WV #1",63
Car Wash@821,Plymouth,IN,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states '24/7 Touchless Wash' automated system. Multiple reviews confirm touch-free operation. Also offers detailing services, but primary automated bay is clearly touchless.","Warsaw, IN #1",83
Exxon,Norfolk,VA,Exxon,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless wash using water pressure & detergent only—no brushes, cloth, or foam curtains. Customer review mentions touchless. Clear automatic touchless bay.","Virginia Beach, VA #3",
Festival Car Wash,Waterloo,IA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states third-generation touchless-automatic equipment. Reviews confirm brushless automatic wash. Mixed facility with self-serve bays.","Waterloo-Cedar Falls, IA #3",62
M&M Car Wash,Touchless Automatic,Glen Dale,WV,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple touchless automatic bays confirmed. High-pressure water jets, no physical contact. Mixed facility (self-serve + touchless automatics).","Wheeling, WV #2",72
Power Market,Olivehurst,CA,Power Market,uncertain,unknown,0.4,"Chain offers both touchless AND soft-touch systems. Olivehurst listing description claims touchless, but no reviews or location-specific verification provided. Chain-level capability does not confirm this location's actual equipment.","Yuba City, CA #3",
Champion's AutoWash,Wisconsin Rapids,WI,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic wash. No brushes mentioned. Paint quality concerns unrelated to wash type.","Wisconsin Rapids, WI #1",85
Precision Wash,Watertown,NY,Precision Wash,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states 'touchless automatic washing' with laser wash bays. Reviews confirm laser wash service. Mixed facility with self-serve bays also available.","Watertown, NY #3",
Oil Changers & Car Wash,Visalia,CA,,confirmed_touchless,mixed_with_touchless,0.85,"Reviews explicitly mention 'contactless' and 'touchless' options available. Mixed facility with both touchless and brush options.","Visalia, CA #1",
Splish Splash Car Wash,Vineland,NJ,Splash Car Wash,confirmed_touchless,mixed_with_touchless,0.75,"Listing explicitly describes touchless automatic bay (water pressure + detergent, no brushes/cloth). Reviews confirm brushless/touchless option exists, though facility also offers brush wash.","Vineland, NJ #3",65
Mundy Street Car Wash,Wilkes-Barre Township,PA,,confirmed_touchless,touchless_automatic,0.95,"Automatic gantry with high-pressure nozzles, no physical contact. Customer confirmed touchless effectiveness.","Wilkes-Barre, PA #2",
Sheetz,Winston-Salem,NC,Sheetz,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states automatic touchless wash using water pressure & detergent only—no brushes, cloth, or foam curtains. Review mentions 'no touch car washes.'","Winston-Salem, NC #2",
Splash Car Wash Express,Evans Mills,NY,Splash Car Wash,uncertain,unknown,0.35,"Website describes friction/soft-touch tunnel (no touchless mention). Reviews claim touchless option exists with brush retraction, but also report scratches suggesting contact wash. Evidence contradictory.","Watertown, NY #1",78
Buggy Bath Car Wash,Anderson,IN,,confirmed_touchless,touchless_automatic,0.95,"High-pressure water/chemical gantry system, no brushes/cloth contact. Multiple reviews confirm touchless/brushless/laser wash operation.","Muncie, IN #1",81
Roger's Laser Wash,New Hartford,NY,,confirmed_touchless,touchless_automatic,0.98,"Name 'Laser Wash' + listing declares touchless_automatic. Four 5★ reviews explicitly confirm touchless/touch-less operation with high-pressure water/suds only. No brush/cloth mentions.","Utica-Rome, NY #1",92
Kiwi Car Wash Vero Beach,Vero Beach,FL,,uncertain,unknown,0.35,"Description claims touchless/brushless automatic; website evidence suggests traditional tunnel. Damage reports suggest mechanical contact; conflict unresolved.","Vero Beach, FL #1",
Super Wash,Beloit,WI,Super Wash,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms touchfree automatic wash with no brushes. Mixed facility (self-serve + touchless automatic). Strong evidence.","Rockford, IL #2",
Keep It Shining Car Wash,Bridgeton,NJ,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay with high-pressure water jets, no physical contact. Multiple reviews confirm touchless/laser wash operation.","Vineland, NJ #2",72
Friendly Carwash,Westfield,MA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'No-Touch Car Wash' service. Multiple reviews confirm touchless automatic bays with no-brush operation. Mixed facility with self-serve and hand wash options also available.","Northampton, MA #3",87
Rapid Car Wash,Fairport,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website confirms LaserWash G5 touchless/touch-free automatic bay. Mixed facility with soft-cloth tunnel also present. Multiple reviews mention 'touch free' lane operating.","Rochester, NY #3",61
Edison Car Wash,Edison,OH,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/laser automatic bay. Mixed facility with DIY bays also present.","Mount Vernon, OH #2",82
Shammy's Auto Wash,Owensboro,KY,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews confirm laser/touch-free automatic wash; customers specifically praise no swirl marks, no scratches, touchless system.","Owensboro, KY #1",93
Potosi Car Wash,Potosi,WI,,confirmed_touchless,touchless_automatic,0.85,"Description explicitly states touchless system with no brushes/bristles contact. Customer review mentions laser wash. No evidence of brush tunnels.","Platteville, WI #1",
Foam & Wash Car Wash,Newburgh,NY,Foam & Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly advertises '24/7 TOUCHLESS WASH' as touch-free automatic bays. Multiple reviews confirm touch-free spray-only service. Mixed facility with soft cloth tunnel also present.","Poughkeepsie, NY #1",70
Grand Express Wash,Peoria,AZ,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touchless Wash Available' multiple times. Reviews consistently mention 'brushless,' 'touchless,' 'touch free' automatic wash. Automated track system confirmed.","Phoenix, AZ #1",88
Uncasville Quick Lube & Car Wash,Uncasville,CT,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states automatic touchless wash with water pressure & detergent only—no brushes/cloth/foam. Multiple reviews confirm touchless/touch-free operation with dryers.","Norwich, CT #1",88
Raymond Car Wash & Detailing,Raymond,ME,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states 'Touch-Free automatic service' with soap, wax, dryers. Customer confirms 'Touchless' experience. Mixed facility (auto + self-serve bays).","Portland, ME #2",
River City Car Wash,Red Wing,MN,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews explicitly confirm touchless/touch-free/brushless automatic bay. Mixed facility with self-serve bays also present.","Red Wing, MN #2",73
Premier Oil Change & Car Wash,Redding,CA,,not_touchless,brush_tunnel,0.95,"Multiple reviews explicitly mention 'brushes' destroying paint/causing scratches. Description claims touchless but evidence contradicts it.","Redding, CA #1",
Super Wash,Fairfield,OH,Super Wash,confirmed_touchless,touchless_automatic,0.95,"Description explicitly describes automatic touchless bay with gantry/nozzles, no contact. Reviews confirm touchless/brushless operation.","Trenton, OH #2",74
Doyle's Car Wash,Turners Falls,MA,,confirmed_touchless,mixed_with_touchless,0.85,"Reviews explicitly confirm one touchless automatic bay. Mixed facility with manual bays. Website description conflicts but customer evidence is clear.","Northampton, MA #2",84
Pro-Clean Car Wash Express,Rock Island,IL,,not_touchless,brush_tunnel,0.85,"Website silent on touchless/brushless claims. Review mentions 'wash brushes' and scratching damage inconsistent with touchless. Marketing focuses on chemical treatments typical of friction washes.","Quad Cities, IA-IL #2",
The Flying Pig Car Wash,Rapid City,SD,Flying Pig Car Wash,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly states 'Touch Free' and 'touchless wash'. Multiple reviews confirm brushless automatic system, two touchless bays. Self-serve also available.","Rapid City, SD #2",85
Hartwell Car Wash,Rock Island,IL,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly advertises 'Touch Free Wash' across all membership tiers. Multiple reviews confirm touchless automatic bays present. Facility also offers brush automatics, making it mixed but clearly qualified.","Quad Cities, IA-IL #3",76
Mocksville Auto Pride Carwash,Mocksville,NC,Royal Rinse Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Royal Rinse chain confirmed operating Washworld Touch-Free IBA (automated touchless). Reviews explicitly praise 'touchless' and 'contactless' options. Mixed facility with both touchless automatic and self-serve/brush bays.","Statesville, NC #2",64
Diamond Sparkle Car Wash,Colchester,CT,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touchless Car Wash System' as primary option. Multiple reviews confirm touchless automatic bay operates alongside self-serve and express wash.","Norwich, CT #3",48
Biddeford Auto Wash,Biddeford,ME,,uncertain,mixed_with_touchless,0.65,"Multiple reviews confirm touchless bays present; one negative review mentions brushes/damage, but may reference soft-touch bay, not touchless bay.","Portland, ME #3",73
Kaady Car Washes,Vancouver,WA,,not_touchless,soft_touch,0.95,"Website explicitly states 'soft-cloth cleaning.' Damage reports (scratches, dents from brushes, paint chips) contradict touchless claims. Official evidence overrides inconsistent reviews.","Portland, OR #1",84
Kelly’s Market Car Wash,Rockford,IL,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states 'brush-free Laser Wash', 'touch free car wash', 'laserwash touchfree'. Customer review confirms 'touch free car wash'. Clear evidence of automatic touchless technology.","Rockford, IL #1",
Ride With Pride Carwash 2,Taylorsville,NC,,confirmed_touchless,mixed_with_touchless,0.85,"Website confirms automatic touchless wash option available. Self-serve bays alone insufficient, but touchless automatic explicitly mentioned and described.","Statesville, NC #3",69
Sonshine Carwash - Madison,Madison,TN,,confirmed_touchless,mixed_with_touchless,0.95,"Logo states 'Touchless Automatics Since 2001'. Multiple reviews confirm touchless automatic operation. Mixed facility includes self-serve bays.","Nashville, TN #1",78
Power Wash USA- Sgt Bluff,Sergeant Bluff,IA,Power Wash USA,confirmed_touchless,mixed_with_touchless,0.95,"Automatic touchless bay confirmed by multiple reviews mentioning 'touchless wash,' 'automatic touchless,' high-pressure chemicals. Also has self-serve bays.","Sioux City, IA #2",86
Kwik Trip Car Wash,Owatonna,MN,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless/brushless automatic, but no touchless_wash_types listed and no review evidence provided to confirm.","Owatonna, MN #2",
Ducky's Car Wash San Ramon,San Ramon,CA,,not_touchless,soft_touch,0.95,"Website describes hand washing, friction services, soft-touch tunnel. Touch-free drying only. Customer damage report consistent with contact-based wash.","San Francisco, CA #3",
Westside Car Wash LLC,Richmond,MI,,confirmed_touchless,mixed_with_touchless,0.92,"Website emphasizes touchless; multiple reviews confirm automatic touchless wash system. Soft Touch mention is secondary; primary offering is touchless automatic.","Richmond, MI #2",85
Bubbles Way Car Wash & Detail & Smokeshop,Oceanside,CA,,uncertain,unknown,0.45,"One review mentions 'touch free' but contradictory 1★ review claims paint scratches. No technical specification of wash type provided.","Oceanside-Carlsbad, CA #3",
Emma's Baywash - Self Service and Touchless Wash,Orlando,FL,,uncertain,mixed_with_touchless,0.65,"Listing & reviews confirm touchless automatic bay (gantry, high-pressure nozzles, no contact). One review mentions 'brushes' but context suggests self-serve wand bay, not automatic.","Orlando, FL #3",81
Key West Car Wash,Nokomis,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly states 'touch free automatic' offering. Multiple 5★ reviews confirm touchless service. Mixed facility (soft touch + touchless). One dissenting review likely refers to soft-touch bay.","Sarasota, FL #2",84
Port City Touchless Car Wash,Portsmouth,NH,,confirmed_touchless,touchless_automatic,0.95,"Explicit touchless_automatic classification. Description confirms high-pressure water+detergent only, no brushes/cloth/foam curtains. Reviews consistently mention touchless/touch-free service, no brush/damage complaints.","Sanford, ME #2",82
Big Dan's Car Wash,Tampa,FL,,not_touchless,brush_tunnel,0.98,"Website explicitly describes friction-based tunnel with brushes/wraps. No touchless automatic bays mentioned. Scratch complaints align with brush contact.","Tampa, FL #3",
Tornado Car Wash,Omaha,NE,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms touchless automatic bays. Multiple reviews praise touchless service. Hybrid facility also offers brush/soft-touch, but touchless automatic clearly present.","Omaha, NE #1",85
Shammys Auto Wash,Owensboro,KY,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly states touchless locations. Multiple customer reviews confirm touchless automatic wash. One negative review mentions scratches but lacks detail; majority positive reviews emphasize touchless benefit.","Owensboro, KY #3",75
Gorilla Car Wash,Council Bluffs,IA,Gorilla Wash,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic bays with high-pressure water spray. Mixed facility with self-serve and hand-wash bays also present.","Omaha, NE #2",92
Wash World Car Wash,Boalsburg,PA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews confirm touchless/brushless automatic. Description explicitly describes high-pressure water jets with no physical contact. One negative review about overspray does not contradict touchless operation.","State College, PA #2",84
Car Wash City,Springfield,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms 24/7 touchless automatics. Reviews mention 'touchless' and 'brushless' wash options. Mixed facility with touchless automatic bays.","Springfield, IL #1",56
T.C.L. Car Wash/Touch-Free Automatic,New Orleans,LA,,confirmed_touchless,touchless_automatic,0.95,"Name explicitly states 'Touch-Free Automatic.' Description confirms water pressure + detergent only, no brushes/cloth/foam curtains. Review supports brushless option exists.","New Orleans, LA #1",
Hy-Vee Car Wash,Rochester,MN,Hy-Vee,not_touchless,mixed_with_touchless,0.85,"Reviews confirm both touchless AND soft-touch/bristle options. Soft-touch with bristles disqualifies facility despite touchless bay presence—customer explicitly chose soft-touch over touchless.","Rochester, MN #2",82
Motor City Auto Wash,Phoenix,AZ,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'premium touchless car washes' with 'high-pressure jets and no brushes or cloths'. Multiple reviews confirm brushless/touchless automatic wash. Also offers self-serve bays.","Phoenix, AZ #3",91
Kwik Trip,Owatonna,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states 'dedicated touchless automated car wash' and 'brushless car wash system.' No conflicting evidence.","Owatonna, MN #3",
Splash Car Wash Express,Liverpool,NY,Splash Car Wash,uncertain,unknown,0.35,"Website claims touchless/high-pressure but describes in-bay automatic as friction/soft-touch. Reviews conflict: some mention touchless bays exist; others report coverage issues, swirl marks. Evidence contradicts.","Syracuse, NY #1",46
Bloomingdale Self-Serve Car Wash,Bloomingdale,NJ,,confirmed_touchless,mixed_with_touchless,0.98,"Website explicitly confirms 2 touchless automatic bays. Reviews consistently praise 'robot arm' and 'brushless' wash. Mixed facility with self-serve bays also available.","New York City, NY #3; Northern NJ #3",73
DNA Car Wash,Shasta Lake,CA,,confirmed_touchless,touchless_automatic,0.95,"Gantry arm with high-pressure nozzles, no physical contact. Review confirms touchless operation.","Redding, CA #3",
The Wave Auto Wash,Sioux Falls,SD,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm 'no-touch', 'brushless', 'touchless' automatic wash. Mixed facility with self-serve bays also present.","Sioux Falls, SD #3",89
Super Wash,Greencastle,IN,Super Wash,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms automatic touchless bay with gantry arm, high-pressure nozzles, no physical contact. Mixed facility includes self-serve bays.","Terre Haute, IN #3",
The Car Wash Express,San Antonio,TX,,uncertain,unknown,0.35,"Website claims touchless gantry system, but multiple reviews report deep scratches/paint damage inconsistent with touchless operation.","San Antonio, TX #3",69
