name,city,state,chain,verdict,facility_type,confidence,reason,trophies,tss
Water Works Car Wash- Annapolis,Annapolis,MD,,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states 'touchless (brushless) automated car wash.' Multiple reviews confirm touchless/brushless automatic bays. Mixed facility with self-serve bays also present.","Washington, DC #3",83
Car Wash City,Springfield,IL,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms 24/7 touchless automatic bays. Reviews mention touchless wash option and brushless wash. Mixed facility with touchless automatics present.","Springfield, IL #1",56
Bernard's Chevron Touchless Car Wash,Livermore,CA,Chevron,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly describes automatic touchless bay using water pressure & detergent, no brushes/cloth/foam curtains. Multiple reviews confirm touchless experience.","San Francisco, CA #3",80
Soaps N Suds Laundromat & Car Wash,Virginia Beach,VA,Soaps N Suds,confirmed_touchless,mixed_with_touchless,0.99,"Website explicitly states touchless/high-pressure with chemicals, no brushes mentioned. Multiple reviews confirm laser wash, no-touch, touchless automatic. Mixed laundromat facility.","Virginia Beach, VA #1",87
The Wave Auto Wash,Sioux Falls,SD,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm 'no-touch,' 'brushless,' and 'touchless' automatic wash. Mixed facility includes self-serve bays. Strong customer evidence supports touchless operation.","Sioux Falls, SD #1",89
Kwik Trip,Wausau,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with overhead gantry, high-pressure nozzles, no physical contact. No contradicting evidence.","Wausau, WI #1",
1st Class Car Wash,Burien,WA,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm automatic touchless/touch-free wash ('razor wash', '$11 automatic touchless'). Mixed facility with self-serve bays also present.","Tacoma, WA #3",74
Kwik Trip,STURGEON BAY,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed touchless system. Customer review explicitly states 'no touch car wash.' Description confirms automatic touchless with no physical contact.","Sturgeon Bay, WI #2",
Kwik Trip,ROCHESTER,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed; description specifies high-pressure water jets, no physical contact; customer review explicitly mentions 'touch free'","Rochester, MN #1",
Wrightsville Beach Auto Wash,Wilmington,NC,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Touch-Free Automatic' wash. Multiple reviews confirm brushless/touchless/no-touch automatic bays with high-pressure operation.","Wilmington, NC #3",71
Classy Chassis Self-Serve Car Wash - Sprague Ave,Tacoma,WA,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly lists 'Touch-Free Car Washes'; multiple reviews confirm touchless automatic bay. Self-serve bays also available.","Seattle, WA #1; Tacoma, WA #1",85
Pueblo Laser Wash & Vac,Pueblo,CO,ProClean Auto Wash,uncertain,touchless_automatic,0.65,"Name & description confirm touchless/laser automatic. One review reports physical contact damage; unclear if exception or systemic issue.","Pueblo, CO #3",
Sheetz,St Clairsville,OH,Sheetz,uncertain,unknown,0.3,"Description claims touchless, but no reviews provided to corroborate. Sheetz typically operates fuel+convenience, not dedicated car wash.","Wheeling, WV #2",
Aqua-Tech Car Wash,Davenport,IA,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms 'Touch Free Automatic' as core offering. Multiple reviews praise touchless wash. Mixed facility with self-serve and tunnel options also available.","Quad Cities, IA-IL #3",64
Fast Auto Wash,Sioux Falls,SD,,uncertain,unknown,0.35,"Website describes conveyered automatic with soft-touch/friction; reviews claim touchless. Conflicting evidence requires clarification on actual wash type.","Sioux Falls, SD #2",85
Auto Wash Express,Tucson,AZ,,uncertain,unknown,0.35,"Description claims touchless; reviews report brushes engaging and poor cleaning. Conflicting evidence; unclear if brushes malfunction or facility is brush-based.","Tucson, AZ #1",48
Fitzy's Car Wash,North Grafton,MA,,confirmed_touchless,mixed_with_touchless,0.95,"Website confirms 'TOUCHLESS SABER WASH' available 24/7. Multiple reviews explicitly mention 'touchless/touch-less/no touch' service. Mixed facility with tunnel wash and self-serve, but genuine touchless automatic bay present.","Worcester, MA #2",85
Jimmy's Ultra Express Car Wash,Murrieta,CA,,confirmed_touchless,mixed_with_touchless,0.92,"Multiple reviews confirm touchless automatic bay available. Mixed facility offers both touchless and brush options. Evidence supports touchless capability.","Temecula, CA #1",66
Checkered Flag Car & Dog Wash,Advance,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Listing describes automatic touchless gantry system (high-pressure nozzles, no brushes/cloth). Reviews confirm 2 touchless lanes. Attendant wheel-cleaning is ancillary service.","Winston-Salem, NC #2",90
Touchless Car Wash,Santa Clara,CA,,confirmed_touchless,touchless_automatic,0.98,"High-pressure water/chemical gantry system, no brushes/cloth contact confirmed. Multiple reviews affirm touchless/no-touch operation and scratch-free cleaning.","San Jose, CA #1",84
MegaWash,Ashland,VA,,confirmed_touchless,mixed_with_touchless,0.92,"Website confirms '75ft touchless tunnel' and touchless automatic bays. Reviews document touchless gantry/high-pressure jets. Soft-brush RV option present but distinct from touchless automatic.","Richmond, VA #2",85
Pink Bird Car Wash,West Palm Beach,FL,,uncertain,unknown,0.35,"Description claims touchless/high-pressure automatic, but classification evidence lists zero touchless wash types. One review mentions staff buffing scratches (hand contact). Conflicting signals.","West Palm Beach, FL #1",82
Zaug Wash,Rapid City,SD,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Laser Wash system'; multiple customer reviews confirm 'brushless' and 'touch-less' automatic bays; high-pressure touchless technology documented.","Rapid City, SD #1",89
Foam & Wash Car Wash,Fishkill,NY,Foam & Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states '24/7 TOUCHLESS WASH' with touch-free automatic bays. Multiple reviews confirm 2-3 touchless auto bays operational. Mixed facility also offers soft-touch tunnel & self-serve.","Poughkeepsie, NY #2",67
RAMS Auto Spa,Mineral Ridge,OH,,confirmed_touchless,mixed_with_touchless,0.95,"Confirmed touchless automatic gantry system with high-pressure water/chemicals, no brushes. Reviews consistently praise touchless bay; facility also offers self-serve.","Warren-Youngstown, OH #1",89
Spritz Car Wash,Glenville,NY,Spritz Car Wash,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms touchless/touch-free bays with state-of-art tech. Multiple reviews praise 'touch free bays,' 'touchless bay,' 'no touch,' and 'laser wash.' Mixed facility with soft-touch tunnels also present.","Saratoga Springs, NY #3",68
Kwik Trip,Fort Atkinson,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms automatic touchless bay with high-pressure water jets, no physical contact. Review mentions 'touch free' option alongside soft-touch, indicating mixed facility with touchless automatic.","Watertown, WI #2",
Foam and Wash Car Wash,Fishkill,NY,Foam & Wash,uncertain,mixed_with_touchless,0.6,"Website confirms touchless automatic bays exist. But reviews mention 'soft cloth touchless' (contradiction) and damage complaints suggest possible brush/abrasive contact despite touchless claims.","Poughkeepsie, NY #3",85
Circle K | Car Wash,Rockford,IL,Circle K,confirmed_touchless,touchless_automatic,0.85,"Description explicitly states 'touchless automated car wash' and 'brushless system.' Review confirms 'touch free wash option' exists, though notes power concerns.","Rockford, IL #2",
Wild Wild Wash,Reno,NV,,uncertain,unknown,0.35,"Website claims touchless gantry/high-pressure system, but 1-star reviews report swirl marks and damage suggesting contact/friction wash. Evidence contradicts listing description.","Reno, NV #2",80
Power Market,Yuba City,CA,Power Market,uncertain,unknown,0.45,"Chain uses Istobal (touchless+soft-touch capable), description claims brushless touchless, but no location-specific confirmation. Soft-touch option presence unclear for this specific site.","Yuba City, CA #2",
Kwik Trip,WATERLOO,IA,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed touchless system; gantry overhead, high-pressure nozzles, no physical contact.","Waterloo-Cedar Falls, IA #2",
Girard Auto Bath,Girard,OH,,confirmed_touchless,mixed_with_touchless,0.98,"Two laser touchless automatic bays explicitly stated; reviews confirm touch-free/brushless operation; self-serve bays supplementary.","Warren-Youngstown, OH #2",85
Kwik Trip,ROCHESTER,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay with gantry arm, high-pressure nozzles, no physical contact. PDQ Laserwash 360 Plus confirmed.","Rochester, MN #2",
76,Penryn,CA,76,uncertain,unknown,0.45,"Description claims touchless automatic with high-pressure jets. Reviews mention 'touchless' option but one reports severe rim damage, suggesting possible mechanical hazard or brush contact.","Sacramento, CA #2",80
Ashland Laser Wash,Ashland,OH,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly confirms automatic touchless bay with water pressure & detergent only, no brushes/cloth/foam curtains. Reviews consistently reference 'laser wash' and 'touchless' affirming no physical contact.","Wooster, OH #2",70
Power Market,Olivehurst,CA,Power Market,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless bay, gantry-arm overhead, high-pressure nozzles, no physical contact. Istobal touchless system confirmed.","Yuba City, CA #1",
Kwik Trip,SIOUX CITY,IA,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless automatic, but no touchless_wash_types recorded and no reviews to verify. Chain-level confirmation needed.","Sioux City, IA #2",
Kwik Trip,SHEBOYGAN,WI,Kwik Trip,confirmed_touchless,mixed_with_touchless,0.95,"Description explicitly states 'touchless automatic car wash' and 'brushless system'. Customer review confirms 'touchfree' bay present alongside soft-touch option.","Sheboygan, WI #3",
Wash World Car Wash,Owasso,OK,,confirmed_touchless,mixed_with_touchless,0.98,"Multiple reviews confirm automatic touchless bay (high-pressure, no brushes/cloth). Mixed facility with self-serve bays also present.","Tulsa, OK #2",86
TouchFree Automatic Car Wash,Tampa,FL,,confirmed_touchless,mixed_with_touchless,0.95,"Name, description, and multiple reviews confirm touchless automatic bay. Mixed facility with self-serve bays also present.","Tampa, FL #3",83
Power Market,Redding,CA,,uncertain,unknown,0.3,"Description claims touchless automatic, but evidence file contradicts—no wash service details documented. Review mentions store/gas, not wash specifics.","Redding, CA #1",
Sonic Wave Car Wash,Latrobe,PA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'TOUCH FREE and BRUSHLESS' system. Multiple reviews confirm touchless operation. No brush/cloth contact evidence.","Uniontown, PA #3",81
International Auto Spa of Sarasota,Sarasota,FL,,uncertain,unknown,0.35,"Description claims touchless gantry system, but evidence file contradicts (describes friction tunnel). Customer reviews mention brushes and mechanical damage, undermining touchless claim.","Sarasota, FL #2",
Auto Worx Auto Wash,Raleigh,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states touchless automatic bay available. Multiple reviews confirm no-touch/touchless service with gantry overhead system. Also offers soft-touch option.","Raleigh-Durham, NC #1",71
Marathon #602 (Max Car Wash),Lake Park,FL,Marathon,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states high-pressure water jets, no physical contact. Customer reviews confirm touchless wash functionality.","West Palm Beach, FL #3",69
Kwik Trip,WAUSAU,WI,Kwik Trip,uncertain,unknown,0.35,"Description claims 'touchless automatic' and 'brushless wash' but no review evidence collected to verify. Chain context unknown.","Wausau, WI #2",
Cornerstone Car Wash and Laundromat,Stewartstown,PA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews explicitly confirm touchless/touch-free automatic wash. One dissenting review (3★) actually reinforces the touchless claim by preferring the old brush wash. Mixed facility includes self-serve bays.","York, PA #1",88
Troy's Finest Car & Pet Wash,Troy,IL,,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states automatic touchless wash with water pressure & detergent only—no brushes, cloth, or foam curtains. Multiple reviews confirm touchless automatic bay operation.","St. Louis, MO #2",84
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless system'. Customer review confirms touchless operation.","Watertown, WI #1",
Kickin Mule Car Wash,Lambertville,MI,,confirmed_touchless,touchless_automatic,0.98,"Multiple reviews explicitly confirm touchless/brushless automatic bay. Dually-sized capacity noted. No brush/cloth contact reports.","Toledo, OH #1",86
Royal Ozarks Car Wash,St Charles,MO,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'touchless tunnel'. Multiple reviews confirm brushless automatic wash. Additional hand-dry/valet services present.","St. Louis, MO #1",89
Prístíne Auto Wash,Utica,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touch Free/Touchless Wash Bays.' Multiple reviews praise 'laser wash' and 'touch free' options. Facility also offers Soft Touch (non-touchless) but genuine touchless automatic bay confirmed.","Utica-Rome, NY #2",85
Caz Car Wash,Cazenovia,NY,,confirmed_touchless,mixed_with_touchless,0.99,"Laserwash 360 Touch Free Automatic confirmed via website & reviews. High-pressure water+detergent, no physical contact. Mixed facility (also offers soft-touch), qualifies.","Syracuse, NY #3",73
Andover Laserwash,Andover,KS,,confirmed_touchless,touchless_automatic,0.99,"PDQ Laserwash equipment, gantry overhead system, high-pressure nozzles, no physical contact. Multiple reviews confirm laser/touchless/no-touch automatic wash.","Wichita, KS #2",77
Scrub Co Car Wash,Port Ewen,NY,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly states 'touchless (brushless) automated car wash'. Multiple reviews confirm 'touch free' option with automatic wash. Mixed facility (touchless + standard + self-serve bays).","Poughkeepsie, NY #1",85
Kwik Trip,OCONOMOWOC,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description explicitly states '24-hour touchless automatic car wash' and 'brushless wash experience.' Review irrelevant to wash type.","Watertown, WI #3",
Rapid Car Wash,Rochester,NY,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly confirms LaserWash G5 touchless system. Reviews consistently mention 'brushless,' 'laser water jets,' 'touch free,' and 'no touch' automatic wash. Mixed facility with soft cloth tunnel also present.","Rochester, NY #2",76
Elephant Touchless Car Wash,Medical Lake,WA,Elephant Car Wash,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly states 'brushless automated wash'. Multiple reviews confirm touchless operation; one explicitly contrasts it favorably against brush/flap washes.","Spokane, WA #3",86
Automatic Touchless Car Wash,Stuart,FL,,confirmed_touchless,touchless_automatic,0.92,"Listing explicitly describes automatic touchless bay with high-pressure water jets, no physical contact. Reviews confirm touchless operation despite quality complaints.","Stuart, FL #2",51
Excel Car Wash,Tyler,TX,,confirmed_touchless,touchless_automatic,0.92,"Website states 'brushless system'; multiple reviews explicitly confirm 'touch free' and 'touch less' automatic wash with detailed service features (underbody, wheel cleaner, foam, Rain-X, spot-free rinse).","Tyler, TX #1",82
Klean Freak Car Wash,Silverdale,WA,,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm brushless/touchless automatic wash. Website silence contradicted by strong customer evidence of touchless operation.","Seattle, WA #2",84
Hyper Express Car Wash | TOUCHLESS Car Wash | Smithville,Smithville,OH,,confirmed_touchless,touchless_automatic,0.99,"Website explicitly confirms touchless automatic system with high-pressure nozzles, no friction contact. Multiple reviews affirm no brushes/scratching risk. Automated gantry-style bay.","Wooster, OH #1",85
Turn 4 Car Wash,Marinette,WI,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states touchless/touch-free with no brushes. Multiple reviews confirm touch-free automatic wash system. High-pressure water-based technology.","Sturgeon Bay, WI #1",78
Super Wash,Virden,IL,Super Wash,uncertain,unknown,0.4,"Description claims touchless high-pressure water/detergent automatic bay with no brushes/cloth. No reviews provided to verify. Text appears truncated mid-sentence.","Springfield, IL #2",
Mobil "Touchless" Car Wash,Macomb,MI,Mobil,confirmed_touchless,touchless_automatic,0.95,"Listing explicitly states automatic touchless bay with no physical contact. Multiple reviews confirm touchless operation. No brush/cloth contact mentioned.","Richmond, MI #2",71
Hamilton Touchless,Sioux City,IA,,confirmed_touchless,mixed_with_touchless,0.92,"Automatic touchless tunnel confirmed by multiple reviews. Hand-wash prep steps don't disqualify automatic touchless bay. Mixed facility with detailing services.","Sioux City, IA #1",85
66 Car Wash,Kernersville,NC,,confirmed_touchless,mixed_with_touchless,0.92,"Website explicitly states touchless automatic bays available. Multiple reviews confirm touchless/touch-free/brushless options. Mixed facility with brush and touchless bays.","Winston-Salem, NC #3",67
Kwik Trip,WISCONSIN RAPIDS,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless, but no touchless_wash_types listed, no reviews to verify, no classification evidence on file.","Wisconsin Rapids, WI #2",
Orloski's Car Wash & Lube Shop,Wilkes-Barre Township,PA,,uncertain,mixed_with_touchless,0.6,"Description claims touchless automatic bay with high-pressure jets. Reviews mention both brush wash and touchless options available, but lack clear confirmation of functioning touchless bay operability.","Wilkes-Barre, PA #2",
Mint Eco Car Wash and Detail Center,West Palm Beach,FL,,confirmed_touchless,mixed_with_touchless,0.92,"Description explicitly confirms automatic high-pressure water jets, no physical contact touchless bay. Reviews mention 'brushless wash' and 'touchless wash' positively. Detailing services also offered.","West Palm Beach, FL #2",82
Kwik Trip,Lake City,MN,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless/brushless automatic, but no touchless_wash_types recorded and no review evidence to confirm.","Red Wing, MN #3",
Auto Wash Express - Catalina,Catalina,AZ,,confirmed_touchless,mixed_with_touchless,0.92,"Facility has fully automated Autec Automatics touchless bays plus self-serve. Multiple reviews confirm touch-free/touchless automatic option available.","Tucson, AZ #2",51
Chevron,Chula Vista,CA,Chevron,confirmed_touchless,touchless_automatic,0.95,"Multiple reviews explicitly confirm automatic touchless/touch-free wash. No brush or cloth contact mentioned. 24/7 automatic bay.","San Diego, CA #3",65
Jesse’s car wash n Salina blvd,Syracuse,NY,,confirmed_touchless,touchless_automatic,0.99,"Website confirms two Washworld Razor Edge Touch Free washes. Multiple reviews explicitly verify touchless/touch-free experience. No brush/cloth contact mentioned.","Syracuse, NY #2",76
Dawson Oil Company - Car Wash,Rocklin,CA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states touchless carwashes present. Multiple 5★ reviews consistently confirm touchless/no-touch automatic wash. Clear evidence of genuine touchless technology.","Sacramento, CA #1",92
Kwik Trip,WAITE PARK,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"Description confirms automatic touchless gantry bay with high-pressure nozzles, no physical contact. PDQ Laserwash 360 Plus equipment listed.","St. Cloud, MN #3",
Ultimate Express Car Wash,Layton,UT,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'touchless car wash systems' & 'hands-free experience' with 'no contact.' Multiple 5★ reviews confirm touchless effectiveness. Family-owned with touchless packages.","Salt Lake City, UT #2",83
Quick Car Wash II,Sparks,NV,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews confirm automatic touchless bay. Description explicitly states touchless automatic wash. Self-serve wands also present but not primary service.","Reno, NV #1",93
Power Market,Anderson,CA,Power Market,uncertain,unknown,0.5,"Chain uses Istobal (touchless + soft-touch capable); listing claims touchless/brushless but empty touchless_wash_types field and incomplete description create ambiguity.","Redding, CA #2",
Wash Time Car Wash II,Hayward,CA,,confirmed_touchless,mixed_with_touchless,0.95,"Multiple reviews confirm automatic touchless/touch-free drive-thru bay with laser wash. Also offers self-serve stalls and manual wash.","San Francisco, CA #1",72
Mike’s Stop and Shine,Terre Haute,IN,,confirmed_touchless,touchless_automatic,0.92,"Listing explicitly describes touchless wash without brushes. Multiple 5★ reviews confirm touchless operation and customer satisfaction with no-brush wash.","Terre Haute, IN #2",
BellStores,Martins Ferry,OH,BellStores,uncertain,unknown,0.35,"Description claims touchless automatic, but no review evidence harvested to confirm. No contradictory evidence either.","Wheeling, WV #3",
Squeaky's Car Wash,Spokane Valley,WA,,confirmed_touchless,touchless_automatic,0.98,"Website explicitly states 'Always Touch Free.' Multiple reviews confirm no-touch/touchless automatic wash. Brushless system confirmed.","Spokane, WA #1",94
Grand Prix Auto Wash of Meadowbridge,Mechanicsville,VA,,confirmed_touchless,touchless_automatic,0.92,"Multiple reviews explicitly confirm touchless/touch-less automatic wash. Customers appreciate brushless cleaning for special paint. No brush/cloth contact evidence.","Richmond, VA #1",75
Waterfly Car Wash,Sacramento,CA,,uncertain,unknown,0.45,"Website describes friction/soft-touch tunnel (no touchless mention). Customer reviews claim 'no touch' but also report scratches, hard water stains, wheel contact—contradicting touchless operation.","Sacramento, CA #3",82
Southport Auto Wash,Southport,NC,,confirmed_touchless,touchless_automatic,0.95,"Website explicitly advertises 'Touch-Free Automatic' wash. Multiple customer reviews confirm brushless, touchless operation with high-pressure water system.","Wilmington, NC #2",80
American Pride Car Wash,Knightdale,NC,,confirmed_touchless,mixed_with_touchless,0.95,"Website explicitly states 'Touchfree Automatic' bays available. Multiple reviews confirm laser/brushless/touchless automatic service. Mixed facility with Xpress Tunnel + touchfree automatic options.","Raleigh-Durham, NC #3",68
Super Klean Car Wash Bixby,Bixby,OK,Super Klean Car Wash,confirmed_touchless,touchless_automatic,0.99,"Website explicitly states 'Touch Free Tunnel' with no brushes/curtains. Multiple 5★ reviews confirm touchless automatic operation with soap/water only.","Tulsa, OK #1",91
Kwik Trip,Red Wing,MN,Kwik Trip,confirmed_touchless,touchless_automatic,0.92,"Description explicitly states 'automatic touchless car washing — no brushes, no cloth.' Amenities confirm touchless automatic wash present.","Red Wing, MN #2",
Shine On Auto Wash Touchless Automatic,East Providence,RI,,confirmed_touchless,mixed_with_touchless,0.95,"Two automatic touchless bays confirmed. Mixed facility with self-serve bays and vacuums. Strong customer consensus on touchless capability.","Providence, RI #1",88
Classy Chassis Car Wash,Lakewood,WA,,uncertain,mixed_with_touchless,0.45,"Website claims touchless automatic; description mentions 'soft cloth wash' (contradicts touchless); reviews mixed—some praise 'touch free' but one explicitly states 'no touch car wash' unavailable at this location.","Tacoma, WA #2",69
Kwik Trip,New Holstein,WI,Kwik Trip,uncertain,unknown,0.4,"Description claims touchless automatic but no verification evidence, reviews, or touchless_wash_types data provided.","Sheboygan, WI #2",
Sunshine Car Wash - Court St,Clearwater,FL,,uncertain,unknown,0.45,"Conflicting evidence: website describes tunnel/soft-touch system; reviews praise brushless; one recent review disputes brushless claim, citing rubber fingers contact.","Tampa, FL #2",81
EZ Breezy Car Wash,Mt Pleasant,PA,,confirmed_touchless,mixed_with_touchless,0.99,"Website explicitly states 'touchless_automatic', 'brushless automatic', 'touch-free'. Two automatic touchless bays confirmed. Reviews cite laser wash, brushless, and touchless technology.","Uniontown, PA #1",90
Kwik Trip,STEVENS POINT,WI,Kwik Trip,confirmed_touchless,touchless_automatic,0.95,"PDQ Laserwash 360 Plus confirmed touchless system; gantry-overhead high-pressure nozzles; customer review confirms touch-free operation.","Wisconsin Rapids, WI #3",
